ID via;TIPO;Via;Tipo via
1;3;DEL DUOMO;Pza
10;17;VITTORIO EMANUELE II;Gll
50;5;SANTA MARGHERITA;Vlo
51;1;DEGLI ANGIOLI;Via
52;4;DELLO STADIO;Lgo
96;1;PIETRO CALDERON DE LA BARCA;Via
97;4;ARTURO TOSCANINI;Lgo
98;3;DEL LIBERTY;Pza
99;15;GIOVANNI MALAGODI;Pas
100;17;DE CRISTOFORIS;Gll
101;5;CIOVASSO;Vlo
102;15;DUOMO;Pas
103;1;SILVIO PELLICO;Via
104;1;CARLO CATTANEO;Via
105;1;TOMMASO GROSSI;Via
106;1;GIUSEPPE MENGONI;Via
107;1;FARINE;Via
108;1;SANTA MARGHERITA;Via
109;1;SAN PROTASO;Via
110;1;BASSANO PORRONE;Via
111;1;SAN DALMAZIO;Via
112;3;PAOLO FERRARI;Pza
113;1;FILODRAMMATICI;Via
114;1;CLERICI;Via
115;1;DEI BOSSI;Via
116;21;MAURILIO BOSSI;Pzt
117;1;ARRIGO BOITO;Via
118;1;GIUSEPPE VERDI;Via
119;1;ROMAGNOSI;Via
120;1;ANDEGARI;Via
121;1;MONTE DI PIETA';Via
122;1;BRERA;Via
123;1;DELL'ORSO;Via
124;1;DEL LAURO;Via
125;1;CIOVASSINO;Via
126;1;MELONE;Via
127;1;CIOVASSO;Via
128;1;DEL GALLO;Via
129;3;DEL CARMINE;Pza
130;1;DEL CARMINE;Via
131;21;DI BRERA;Pzt
132;1;SAN CARPOFORO;Via
133;1;MARCO FORMENTINI;Via
134;1;MADONNINA;Via
135;1;FIORI CHIARI;Via
136;1;FIORI OSCURI;Via
137;4;BORTOLO BELOTTI;Lgo
138;5;FIORI;Vlo
139;1;BORGONUOVO;Via
140;1;DELL'ANNUNCIATA;Via
141;1;DEI GIARDINI;Via
142;1;GASTONE PISONI;Via
143;1;PONTACCIO;Via
144;1;FATEBENEFRATELLI;Via
145;1;CROCE ROSSA;Via
146;1;FRATELLI GABBA;Via
147;3;SANT'ERASMO;Pza
148;5;GIARDINO;Vlo
149;4;VICTOR DE SABATA;Lgo
150;21;ENRICO CUCCIA;Pzt
151;4;ANTONIO GHIRINGHELLI;Lgo
152;21;GIORDANO DELL'AMORE;Pzt
190;1;ULRICO HOEPLI;Via
191;1;RAGAZZI DEL '99;Via
197;4;RAFFAELE MATTIOLI;Lgo
198;24;SANTA RADEGONDA;Stv
199;23;DEI BAGATTI VALSECCHI;Sit
200;1;GEROLAMO MORONE;Via
201;3;DELLA SCALA;Pza
202;1;CASE ROTTE;Via
203;3;SAN FEDELE;Pza
204;1;TOMMASO MARINO;Via
205;1;UGO FOSCOLO;Via
206;1;GIOVANNI BERCHET;Via
207;1;SAN RAFFAELE;Via
208;1;SANTA RADEGONDA;Via
209;1;AGNELLO;Via
210;1;ADALBERTO CATENA;Via
211;3;FILIPPO MEDA;Pza
212;1;SAN PAOLO;Via
213;1;SAN PIETRO ALL'ORTO;Via
214;11;VITTORIO EMANUELE II;Cso
215;3;SAN CARLO;Pza
216;3;SAN BABILA;Pza
217;17;SALA DEI LONGOBARDI;Gll
218;11;GIACOMO MATTEOTTI;Cso
219;1;MONTE NAPOLEONE;Via
220;1;BAGUTTINO;Via
221;1;BAGUTTA;Via
222;1;SANT'ANDREA;Via
223;1;PIETRO VERRI;Via
224;1;BIGLI;Via
225;27;CARLA LONZI;Grd
226;1;DELLA SPIGA;Via
227;1;GESU';Via
228;1;SANTO SPIRITO;Via
229;1;BORGOSPESSO;Via
230;1;ALESSANDRO MANZONI;Via
231;1;LUIGI ROSSARI;Via
232;3;BELGIOIOSO;Pza
233;1;DEGLI OMENONI;Via
234;4;CORSIA DEI SERVI;Lgo
235;18;INDRO MONTANELLI;Grd
236;1;SENATO;Via
237;3;CAVOUR;Pza
238;11;VENEZIA;Cso
239;17;CIRO FONTANA;Gll
240;4;LINO MONTAGNA;Lgo
241;27;PADRE DAVID MARIA TUROLDO;Grd
242;27;GIUNI RUSSO AL SECOLO GIUSEPPA ROMEO;Grd
243;27;FRANCO BASAGLIA;Grd
244;4;CLAUDIO ABBADO;Lgo
245;1;LAURA PERONI;Via
246;21;ALBA DELL'ACQUA;Pzt
247;4;15 MARTIRI DI PIAZZALE LORETO;Lgo
248;1;ALBERTO MANZI;Via
249;2;MARGHERITA HACK;Vle
250;2;LAURA BASSI;Vle
251;2;DIAN FOSSEY;Vle
252;27;VITTONIO COLOMBO;Grd
253;4;PIERO SACERDOTI;Lgo
255;27;MARIA MONTUORO;Grd
256;18;JENIDE RUSSO;Grd
257;27;GIOVANNA BOCCALINI;Grd
258;27;ELSA PARMIGIANI;Grd
259;27;GIULIANA GADOLA;Grd
260;20;ALBINO ABICO;Par
261;35;STAFFETTE PARTIGIANE;#N/D
296;17;PATTARI;Gll
297;17;STRASBURGO;Gll
298;1;PASSARELLA;Via
299;21;PATTARI;Pzt
300;11;EUROPA;Cso
301;1;BORGOGNA;Via
302;17;SAN CARLO;Gll
303;17;PASSARELLA;Gll
304;1;PATTARI;Via
305;17;DEL CORSO;Gll
